Model,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score
Decision Tree,1.0,0.9122807017543859,0.9558823529411765,0.9027777777777778,0.9285714285714286
Tuned Decision Tree,0.9868131868131869,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951
Random Forest,1.0,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104
