Model,MSE,RMSE,MAE,R²
Linear Regression,2900.1936284934804,53.85344583676592,42.79409467959994,0.4526027629719197
Ridge,3077.41593882723,55.47446204180109,46.13885766697452,0.41915292635986545
Lasso,3403.5757216070733,58.340172450954185,49.73032753662261,0.3575918767219115
